Carimbo de data/hora;Qual sua faixa etária?;Qual seu nível de escolaridade?;Qual sua renda familiar mensal?;A sua última viagem intermunicipal (entre municípios) foi:;A viagem foi realizada em qual período do dia?;Qual o motivo da viagem?;Motivo Agrupado;Qual o município de ORIGEM;Qual o município de DESTINO;Qual foi o principal meio de transporte que você usou?;Modal Agrupado;Quanto tempo durou a viagem?;Com que frequência você faz essa viagem?
2025/03/10 7:03:32 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Madrugada (00h - 5h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;Alcântara;Moto própria;Moto própria;Entre 1 e 2 horas;Muito raramente
2025/03/10 7:04:28 PM GMT-3;25 a 34 anos;Ensino Superior incompleto;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Noite (18h - 00h);Lazer;Lazer;São Luís;Alcântara;Carro próprio;Carro próprio;Entre 30 e 60 minutos;Muito raramente
2025/03/10 7:07:57 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Noite (18h - 00h);Lazer;Lazer;São Luís;Alcântara;Carro próprio;Carro próprio;Entre 1 e 2 horas;Muito raramente
2025/03/10 7:09:05 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;São Luís;FORA DA RMGSL;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/10 7:09:42 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Noite (18h - 00h);Estudo;Estudo;Axixá;Axixá;Van ;Transporte Alternativo;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/10 7:10:34 PM GMT-3;25 a 34 anos;Ensino Superior incompleto;Acima de 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;Axixá;Carro próprio;Carro próprio;Mais de 2 horas;3 a 5 vezes por semana
2025/03/10 7:27:53 PM GMT-3;25 a 34 anos;Ensino Médio completo;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;Axixá;Ônibus;Ônibus;Mais de 2 horas;Muito raramente
2025/03/12 10:01:54 AM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;Bacabal;Ônibus;Ônibus;Entre 30 e 60 minutos;1 a 3 vezes por mês
2025/03/12 10:10:19 AM GMT-3;18 a 24 anos;Ensino Médio completo;Acima de 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;Rosário;Bacabeira;Ferriboat;Transporte Aquaviário;Mais de 2 horas;1 a 3 vezes por mês
2025/03/12 11:46:26 AM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São Luís;Bacabeira;Ônibus;Ônibus;Mais de 2 horas;Todos os dias
