ORIGEM 2,DESTINO 2,motivo_ajustado,Com que frequência você faz essa viagem?,A viagem foi realizada em qual período do dia?
Alcântara,São Luís - Bancaga,Serviços ,Raramente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,Raramente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,2 a 3 vezes ao mês,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,2 a 3 vezes ao mês,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Trabalho,Semanalmente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,Raramente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Trabalho,Semanalmente,Madrugada (00h - 5h)
Alcântara,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Alcântara,São Luís - Zona Industrial,Lazer / Turismo,Raramente,Manhã (5h - 12h)
Alcântara,São José de Ribamar,Outros,Raramente,Noite (18h - 00h)
Alcântara,Alcântara,Lazer / Turismo,Raramente,Noite (18h - 00h)
Alcântara,São Luís - Centro,Saúde ,Raramente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,Raramente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,Raramente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,2 a 3 vezes ao mês,Manhã (5h - 12h)
Alcântara,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Alcântara,São Luís - Cohab,Lazer / Turismo,Raramente,Tarde (12h - 18h)
Anapurus ,São Luís - Cohama,Estudo,2 a 3 vezes ao mês,Manhã (5h - 12h)
Araguanã,São Luís - Cohab,Lazer / Turismo,Raramente,Madrugada (00h - 5h)
Arari ,São Luís - Centro,Lazer / Turismo,Raramente,Manhã (5h - 12h)
Arari ,São Luís - Centro,Compras (Comércio),Raramente,Manhã (5h - 12h)
Axixá,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Axixá,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Axixá,São Luís - Cohama,Saúde ,Raramente,Manhã (5h - 12h)
Bacabeira,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
