ORIGEM	DESTINO	Faixa Et†ria	Escolaridade	Renda Familiar	Periodo do dia	Motivo	Principal Modal	Fez Integraá∆o?	Se sim, qual modal?	Tempo de Viagem	Frequància
AlcÉntara	S∆o Lu°s - Bancaga	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	Barco/Lancha	NAO	‚nibus, Barco/Lancha	Entre 1h30 e 2h	Raramente
AlcÉntara	S∆o Lu°s - Centro	25 a 34 anos	Ensino MÇdio incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Barco/Lancha	SIM	Transporte por aplicativo (Uber, 99)	Entre 1h30 e 2h	Raramente
AlcÉntara	S∆o Lu°s - Centro	60 anos ou mais	Ensino Fundamental incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Barco/Lancha	SIM	‚nibus	Menos de 15 min	2 a 3 vezes ao màs
AlcÉntara	S∆o Lu°s - Centro	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Barco/Lancha	SIM	Transporte por aplicativo (Uber, 99)	Maior que 2h	2 a 3 vezes ao màs
AlcÉntara	S∆o Lu°s - Centro	45 a 59 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Barco/Lancha	NAO		Entre 1h30 e 2h	Semanalmente
AlcÉntara	S∆o Lu°s - Centro	45 a 59 anos	Ensino Fundamental incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	Barco/Lancha	NAO	‚nibus	Menos de 15 min	Diariamente
AlcÉntara	S∆o Lu°s - Centro	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Barco/Lancha	NAO	Barco/Lancha	Entre 1h30 e 2h	Diariamente
AlcÉntara	S∆o Lu°s - Centro	45 a 59 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Barco/Lancha	SIM	‚nibus, Barco/Lancha	Entre 1h30 e 2h	Raramente
AlcÉntara	S∆o Lu°s - Centro	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Madrugada (00h - 5h)	Trabalho	Barco/Lancha	NAO	Barco/Lancha	Entre 1h30 e 2h	Semanalmente
AlcÉntara	S∆o Lu°s - Centro	25 a 34 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	Barco/Lancha	NAO	Barco/Lancha	Entre 1h30 e 2h	Diariamente
AlcÉntara	S∆o Lu°s - Zona Industrial	35 a 44 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Lazer / Turismo	Barco/Lancha	SIM	‚nibus	Maior que 2h	Raramente
AlcÉntara	S∆o JosÇ de Ribamar	60 anos ou mais	Ensino Superior completo ou mais	Prefiro n∆o dizer	Noite (18h - 00h)	Outros	Carro pr¢prio	NAO	Carro pr¢prio	Entre 15 e 30 min	Raramente
AlcÉntara	AlcÉntara	25 a 34 anos	Ensino Superior incompleto	Prefiro n∆o dizer	Noite (18h - 00h)	Lazer / Turismo	‚nibus	SIM	‚nibus	Entre 1h30 e 2h	Raramente
AlcÉntara	S∆o Lu°s - Centro	60 anos ou mais	Ensino MÇdio incompleto	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	‚nibus	NAO		Menos de 15 min	Raramente
AlcÉntara	S∆o Lu°s - Centro	60 anos ou mais	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	‚nibus	NAO		Menos de 15 min	Raramente
AlcÉntara	S∆o Lu°s - Centro	45 a 59 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Compras (ComÇrcio)	‚nibus	NAO		Menos de 15 min	1 a 2 vezes por semana
AlcÉntara	S∆o Lu°s - Centro	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	‚nibus	NAO	‚nibus	Entre 1h30 e 2h	Raramente
AlcÉntara	S∆o Lu°s - Centro	60 anos ou mais	Ensino MÇdio incompleto	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	‚nibus	NAO		Entre 1h30 e 2h	2 a 3 vezes ao màs
AlcÉntara	S∆o Lu°s - Cohab	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	‚nibus	SIM	Barco/Lancha	Maior que 2h	Diariamente
AlcÉntara	S∆o Lu°s - Cohab	18 a 24 anos	Ensino MÇdio incompleto	Prefiro n∆o dizer	Tarde (12h - 18h)	Lazer / Turismo	‚nibus	SIM	Carro pr¢prio	Entre 1 e 1h30	Raramente
Anapurus 	S∆o Lu°s - Cohama	25 a 34 anos	Ensino Superior incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Estudo	T Alternativo - Carro (carrinho)	NAO		Maior que 2h	2 a 3 vezes ao màs
Araguan∆	S∆o Lu°s - Cohab	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Madrugada (00h - 5h)	Lazer / Turismo	‚nibus	SIM	T†xi	Maior que 2h	Raramente
Arari 	S∆o Lu°s - Centro	18 a 24 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Lazer / Turismo	‚nibus	SIM	Transporte por aplicativo (Uber, 99)	Maior que 2h	Raramente
Arari 	S∆o Lu°s - Centro	18 a 24 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Compras (ComÇrcio)	‚nibus	NAO		Maior que 2h	Raramente
Axix†	Ros†rio	18 a 24 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	Moto pr¢pria	NAO	Moto pr¢pria	Entre 15 e 30 min	Diariamente
Axix†	Ros†rio	18 a 24 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	Moto pr¢pria	NAO	Moto pr¢pria	Entre 15 e 30 min	Diariamente
Axix†	S∆o Lu°s - Cohama	45 a 59 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	T Alternativo - Van	NAO		Maior que 2h	Raramente
Bacabeira	Ros†rio	35 a 44 anos	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	Moto pr¢pria	NAO	Moto pr¢pria	Entre 15 e 30 min	Diariamente
Bacabeira	S∆o Lu°s - Centro	18 a 24 anos	Ensino Superior completo ou mais	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Estudo	‚nibus	SIM	‚nibus	Entre 30 min e 1h	3 a 5 vezes por semana
Bacabeira	S∆o Lu°s - Cohab	35 a 44 anos	Ensino MÇdio incompleto	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	‚nibus	NAO		Entre 1h30 e 2h	Raramente
Bacabeira	S∆o Lu°s - Cohama	25 a 34 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Van	NAO		Entre 1h30 e 2h	Raramente
Bacabeira	S∆o Lu°s - Zona Industrial	25 a 34 anos	Ensino Superior incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Van	NAO		Entre 1 e 1h30	Diariamente
Barreirinhas	S∆o Lu°s - Zona Industrial	45 a 59 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Carro pr¢prio	NAO		Maior que 2h	Raramente
Barreirinhas 	S∆o Lu°s - Cohama	45 a 59 anos	Ensino Superior completo ou mais	Entre 4 e 10 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Carro (carrinho)	SIM	Transporte por aplicativo (Uber, 99)	Maior que 2h	Raramente
Buriti 	S∆o Lu°s - Cidade Oper†ria	35 a 44 anos	Ensino Superior completo ou mais	Prefiro n∆o dizer	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	‚nibus	NAO		Maior que 2h	Raramente
