ORIGEM 2,DESTINO 2,motivo_ajustado,Com que frequência você faz essa viagem?,A viagem foi realizada em qual período do dia?
FORA DA RMGSL,FORA DA RMGSL,Lazer,Muito raramente,Manhã (5h - 12h)
São José de Ribamar,FORA DA RMGSL,Lazer,Muito raramente,Manhã (5h - 12h)
São José de Ribamar,FORA DA RMGSL,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Lazer,3 a 5 vezes por semana,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Tarde (12h - 18h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Tarde (12h - 18h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Tarde (12h - 18h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Trabalho,Muito raramente,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Serviços,Muito raramente,Tarde (12h - 18h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Tarde (12h - 18h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Madrugada (00h - 5h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Tarde (12h - 18h)
São Luís,FORA DA RMGSL,Lazer,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Lazer,1 a 3 vezes por mês,Madrugada (00h - 5h)
São Luís,FORA DA RMGSL,Lazer,1 a 3 vezes por mês,Madrugada (00h - 5h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Lazer,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Serviços,Muito raramente,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Trabalho,Muito raramente,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Trabalho,1 a 2 vezes por semana,Tarde (12h - 18h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Noite (18h - 00h)
São Luís,FORA DA RMGSL,Trabalho,1 a 2 vezes por semana,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Trabalho,Muito raramente,Madrugada (00h - 5h)
São Luís,FORA DA RMGSL,Trabalho,Muito raramente,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Noite (18h - 00h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Noite (18h - 00h)
São Luís,FORA DA RMGSL,Lazer,1 a 3 vezes por mês,Noite (18h - 00h)
São Luís,FORA DA RMGSL,Lazer,1 a 3 vezes por mês,Madrugada (00h - 5h)
São Luís,FORA DA RMGSL,Evento,Muito raramente,Madrugada (00h - 5h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,FORA DA RMGSL,Lazer,Muito raramente,Madrugada (00h - 5h)
FORA DA RMGSL,São Luís,Serviços,1 a 3 vezes por mês,Tarde (12h - 18h)
FORA DA RMGSL,São Luís,Estudo,3 a 5 vezes por semana,Noite (18h - 00h)
FORA DA RMGSL,São Luís,Estudo,1 a 3 vezes por mês,Madrugada (00h - 5h)
FORA DA RMGSL,São Luís,Serviços,1 a 3 vezes por mês,Manhã (5h - 12h)
FORA DA RMGSL,São Luís,Serviços,Muito raramente,Tarde (12h - 18h)
FORA DA RMGSL,São Luís,Lazer,Muito raramente,Tarde (12h - 18h)
São Luís,Alcântara,Estudo,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,Alcântara,Trabalho,1 a 2 vezes por semana,Manhã (5h - 12h)
São Luís,Alcântara,Trabalho,1 a 2 vezes por semana,Tarde (12h - 18h)
Axixá,Axixá,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,Axixá,Trabalho,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,Axixá,Lazer,1 a 3 vezes por mês,Manhã (5h - 12h)
Rosário,Bacabeira,Estudo,Todos os dias,Manhã (5h - 12h)
São Luís,Bacabeira,Lazer,1 a 3 vezes por mês,Tarde (12h - 18h)
São Luís,Bacabeira,Lazer,1 a 3 vezes por mês,Tarde (12h - 18h)
Paço do Lumiar,Cachoeira Grande,Lazer,Muito raramente,Tarde (12h - 18h)
Raposa,Icatu,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,Icatu,Lazer,Muito raramente,Noite (18h - 00h)
São Luís,Icatu,Trabalho,Muito raramente,Manhã (5h - 12h)
São Luís,Icatu,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,Icatu,Trabalho,1 a 2 vezes por semana,Manhã (5h - 12h)
São Luís,Icatu,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,Icatu,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Raposa,Morros,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,Morros,Lazer,Muito raramente,Madrugada (00h - 5h)
São Luís,Morros,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,Morros,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,Morros,Trabalho,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,Morros,Lazer,Muito raramente,Madrugada (00h - 5h)
São Luís,Morros,Trabalho,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,Morros,Trabalho,1 a 2 vezes por semana,Manhã (5h - 12h)
São Luís,Morros,Estudo,Muito raramente,Manhã (5h - 12h)
São Luís,Morros,Lazer,Muito raramente,Madrugada (00h - 5h)
São José de Ribamar,Paço do Lumiar,Serviços,Todos os dias,Madrugada (00h - 5h)
São José de Ribamar,Paço do Lumiar,Trabalho,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,Paço do Lumiar,Lazer,Muito raramente,Noite (18h - 00h)
São Luís,Paço do Lumiar,Trabalho,1 a 2 vezes por semana,Tarde (12h - 18h)
São Luís,Paço do Lumiar,Trabalho,Muito raramente,Manhã (5h - 12h)
São Luís,Paço do Lumiar,Lazer,1 a 3 vezes por mês,Tarde (12h - 18h)
São Luís,Paço do Lumiar,Lazer,Muito raramente,Tarde (12h - 18h)
São Luís,Paço do Lumiar,Serviços,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,Paço do Lumiar,Lazer,1 a 3 vezes por mês,Tarde (12h - 18h)
São Luís,Paço do Lumiar,Estudo,Todos os dias,Noite (18h - 00h)
São Luís,Paço do Lumiar,Serviços,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,Paço do Lumiar,Trabalho,Todos os dias,Manhã (5h - 12h)
São Luís,Paço do Lumiar,Trabalho,Todos os dias,Manhã (5h - 12h)
São Luís,Paço do Lumiar,Trabalho,Todos os dias,Manhã (5h - 12h)
São Luís,Raposa,Lazer,Muito raramente,Tarde (12h - 18h)
São Luís,Raposa,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,Raposa,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,Raposa,Lazer,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,Raposa,Trabalho,Muito raramente,Manhã (5h - 12h)
São Luís,Raposa,Lazer,Muito raramente,Manhã (5h - 12h)
Bacabeira,Rosário,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
Morros,Rosário,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Rosário,Trabalho,3 a 5 vezes por semana,Tarde (12h - 18h)
Presidente Juscelino,Rosário,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
Presidente Juscelino,Rosário,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
Santa Rita,Rosário,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
Santa Rita,Rosário,Estudo,Todos os dias,Manhã (5h - 12h)
São Luís,Rosário,Lazer,Muito raramente,Tarde (12h - 18h)
São Luís,Rosário,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São Luís,Rosário,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São Luís,Rosário,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São Luís,Rosário,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São Luís,Rosário,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São Luís,Rosário,Trabalho,1 a 2 vezes por semana,Manhã (5h - 12h)
São Luís,Rosário,Trabalho,3 a 5 vezes por semana,Tarde (12h - 18h)
São Luís,Rosário,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São Luís,Rosário,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,Santa Rita,Trabalho,Muito raramente,Manhã (5h - 12h)
Paço do Lumiar,São José de Ribamar,Serviços,Todos os dias,Manhã (5h - 12h)
Paço do Lumiar,São José de Ribamar,Estudo,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São José de Ribamar,Trabalho,Todos os dias,Madrugada (00h - 5h)
São José de Ribamar,São José de Ribamar,Trabalho,Todos os dias,Noite (18h - 00h)
São José de Ribamar,São José de Ribamar,Trabalho,Todos os dias,Manhã (5h - 12h)
São Luís,São José de Ribamar,Trabalho,Todos os dias,Manhã (5h - 12h)
São Luís,São José de Ribamar,Lazer,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,São José de Ribamar,Lazer,Muito raramente,Tarde (12h - 18h)
São Luís,São José de Ribamar,Serviços,Todos os dias,Manhã (5h - 12h)
São Luís,São José de Ribamar,Trabalho,Todos os dias,Manhã (5h - 12h)
São Luís,São José de Ribamar,Lazer,Muito raramente,Tarde (12h - 18h)
São Luís,São José de Ribamar,Lazer,Muito raramente,Madrugada (00h - 5h)
São Luís,São José de Ribamar,Serviços,Muito raramente,Manhã (5h - 12h)
São Luís,São José de Ribamar,Trabalho,1 a 2 vezes por semana,Manhã (5h - 12h)
São Luís,São José de Ribamar,Trabalho,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,São José de Ribamar,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São Luís,São José de Ribamar,Lazer,Muito raramente,Noite (18h - 00h)
São Luís,São José de Ribamar,Lazer,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,São José de Ribamar,Trabalho,3 a 5 vezes por semana,Tarde (12h - 18h)
São Luís,São José de Ribamar,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São Luís,São José de Ribamar,Lazer,1 a 3 vezes por mês,Manhã (5h - 12h)
São Luís,São José de Ribamar,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São Luís,São José de Ribamar,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,São José de Ribamar,Lazer,Muito raramente,Noite (18h - 00h)
São Luís,São José de Ribamar,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,São José de Ribamar,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São Luís,São José de Ribamar,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,São José de Ribamar,Lazer,Muito raramente,Manhã (5h - 12h)
São Luís,São José de Ribamar,Trabalho,Todos os dias,Manhã (5h - 12h)
São Luís,São José de Ribamar,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Alcântara,São Luís,Trabalho,1 a 3 vezes por mês,Manhã (5h - 12h)
Morros,São Luís,Trabalho,1 a 2 vezes por semana,Tarde (12h - 18h)
Paço do Lumiar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
Paço do Lumiar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
Paço do Lumiar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
Paço do Lumiar,São Luís,Estudo,Todos os dias,Manhã (5h - 12h)
Paço do Lumiar,São Luís,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís,Serviços,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
Paço do Lumiar,São Luís,Estudo,Todos os dias,Manhã (5h - 12h)
Paço do Lumiar,São Luís,Serviços,3 a 5 vezes por semana,Manhã (5h - 12h)
Raposa,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
Raposa,São Luís,Serviços,1 a 2 vezes por semana,Tarde (12h - 18h)
Raposa,São Luís,Serviços,3 a 5 vezes por semana,Manhã (5h - 12h)
Rosário,São Luís,Serviços,1 a 3 vezes por mês,Tarde (12h - 18h)
Rosário,São Luís,Serviços,1 a 3 vezes por mês,Manhã (5h - 12h)
São José de Ribamar,São Luís,Estudo,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,3 a 5 vezes por semana,Tarde (12h - 18h)
São José de Ribamar,São Luís,Trabalho,1 a 2 vezes por semana,Tarde (12h - 18h)
São José de Ribamar,São Luís,Estudo,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São José de Ribamar,São Luís,Serviços,Muito raramente,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,Todos os dias,Tarde (12h - 18h)
São José de Ribamar,São Luís,Lazer,3 a 5 vezes por semana,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São José de Ribamar,São Luís,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
São José de Ribamar,São Luís,Serviços,1 a 2 vezes por semana,Tarde (12h - 18h)
São José de Ribamar,São Luís,Serviços,3 a 5 vezes por semana,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São Luís,Lazer,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São Luís,Estudo,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São Luís,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São Luís,Serviços,Muito raramente,Tarde (12h - 18h)
São José de Ribamar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São Luís,Estudo,3 a 5 vezes por semana,Tarde (12h - 18h)
São José de Ribamar,São Luís,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,Todos os dias,Noite (18h - 00h)
São José de Ribamar,São Luís,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
São José de Ribamar,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
São Luís,São Luís,Trabalho,Todos os dias,Manhã (5h - 12h)
São Luís,São Luís,Trabalho,3 a 5 vezes por semana,Tarde (12h - 18h)
São Luís,São Luís,Estudo,Todos os dias,Manhã (5h - 12h)
São Luís,São Luís,Estudo,Todos os dias,Manhã (5h - 12h)
São Luís,São Luís,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
São Luís,São Luís,Lazer,Todos os dias,Manhã (5h - 12h)
