ORIGEM 2;DESTINO 2;Motivo Agrupado;Com que frequência você faz essa viagem?;A viagem foi realizada em qual período do dia?;Modal Agrupado
Alcântara;São Luís;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
Axixá;Axixá;Estudo;3 a 5 vezes por semana;Noite (18h - 00h);Transporte Alternativo
Bacabeira;Rosário;Trabalho;3 a 5 vezes por semana;Tarde (12h - 18h);Carro próprio
Cachoeira Grande;Cachoeira Grande;Estudo;Todos os dias;Manhã (5h - 12h);Transporte Alternativo
Cachoeira Grande;Cachoeira Grande;Estudo;Todos os dias;Manhã (5h - 12h);Carro próprio
Cachoeira Grande;FORA DA RMGSL;Trabalho;1 a 2 vezes por semana;Tarde (12h - 18h);Transporte Alternativo
Cachoeira Grande;FORA DA RMGSL;Compras e serviços;Todos os dias;Manhã (5h - 12h);Transporte Alternativo
Cachoeira Grande;FORA DA RMGSL;Saúde (consultas médicas, exames);Muito raramente;Manhã (5h - 12h);Carro próprio
Cachoeira Grande;FORA DA RMGSL;Trabalho;1 a 3 vezes por mês;Manhã (5h - 12h);Transporte Alternativo
Cachoeira Grande;Morros;Saúde (consultas médicas, exames);1 a 3 vezes por mês;Manhã (5h - 12h);Ônibus
Cachoeira Grande;Presidente Juscelino ;Compras e serviços;Muito raramente;Tarde (12h - 18h);Ônibus
Cachoeira Grande;Rosário;Estudo;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
Cachoeira Grande;Rosário;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
Cachoeira Grande;Santa Rita;Visita a amigos/familiares;Muito raramente;Tarde (12h - 18h);Ônibus
Cachoeira Grande;São Luís;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
Cachoeira Grande;São Luís;Trabalho;Muito raramente;Manhã (5h - 12h);Viatura
Cachoeira Grande;São Luís;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
Cachoeira Grande;São Luís;Visita a amigos/familiares;Muito raramente;Noite (18h - 00h);Ônibus
Cachoeira Grande;São Luís;Visita a amigos/familiares;Muito raramente;Noite (18h - 00h);Carro próprio
Cachoeira Grande;São Luís;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Carro próprio
FORA DA RMGSL;FORA DA RMGSL;Saúde (consultas médicas, exames);1 a 3 vezes por mês;Tarde (12h - 18h);Ônibus
FORA DA RMGSL;São Luís;Trabalho;Muito raramente;Madrugada (00h - 5h);Transporte Alternativo
FORA DA RMGSL;São Luís;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
FORA DA RMGSL;São Luís;Visita a amigos/familiares;Muito raramente;Noite (18h - 00h);Carro próprio
FORA DA RMGSL;São Luís;Trabalho;1 a 3 vezes por mês;Madrugada (00h - 5h);Transporte Alternativo
FORA DA RMGSL;São Luís;Estudo;Todos os dias;Tarde (12h - 18h);Carona com alguém
FORA DA RMGSL;São Luís;Trabalho;Muito raramente;Madrugada (00h - 5h);Carona com alguém
Icatu;São Luís;Estudo;Todos os dias;Manhã (5h - 12h);Ônibus
Icatu;São Luís;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
Morros;Rosário;Estudo;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
Morros;São Luís;Lazer;Todos os dias;Manhã (5h - 12h);Carro próprio
Paço do Lumiar;Cachoeira Grande;Trabalho;Todos os dias;Madrugada (00h - 5h);Transporte Alternativo
Paço do Lumiar;Rosário;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
Paço do Lumiar;São José de Ribamar;Visita a amigos/familiares;Muito raramente;Manhã (5h - 12h);Carro próprio
Paço do Lumiar;São José de Ribamar;Lazer;1 a 3 vezes por mês;Manhã (5h - 12h);Carro próprio
Paço do Lumiar;São Luís;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
Paço do Lumiar;São Luís;Visita a amigos/familiares;1 a 3 vezes por mês;Noite (18h - 00h);Ônibus
Paço do Lumiar;São Luís;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Carro próprio
Paço do Lumiar;São Luís;Lazer;Muito raramente;Madrugada (00h - 5h);Transporte por Aplicativo
Paço do Lumiar;São Luís;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
Paço do Lumiar;São Luís;Trabalho;Todos os dias;Manhã (5h - 12h);Carro próprio
Paço do Lumiar;São Luís;Saúde (consultas médicas, exames);3 a 5 vezes por semana;Manhã (5h - 12h);Carro próprio
Paço do Lumiar;São Luís;Trabalho;Todos os dias;Manhã (5h - 12h);Carro próprio
Paço do Lumiar;São Luís;Lazer;Muito raramente;Manhã (5h - 12h);Transporte por Aplicativo
